"record_type","analysis","row_category","column_category","n","statistic","df","p","note"
"Transition matrix","Three-category coding","0","0",1,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Three-category coding","1","0",0,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Three-category coding","2","0",0,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Three-category coding","0","1",1,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Three-category coding","1","1",8,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Three-category coding","2","1",1,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Three-category coding","0","2",1,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Three-category coding","1","2",5,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Three-category coding","2","2",7,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=plain water, 1=flavoured/low-calorie, 2=caloric/nutrient-related"
"Transition matrix","Binary caloric coding","0","0",10,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=non-caloric, 1=caloric/nutrient-related"
"Transition matrix","Binary caloric coding","1","0",1,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=non-caloric, 1=caloric/nutrient-related"
"Transition matrix","Binary caloric coding","0","1",6,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=non-caloric, 1=caloric/nutrient-related"
"Transition matrix","Binary caloric coding","1","1",7,,,,"Rows: Peach smoothie; columns: Chocolate-orange; 0=non-caloric, 1=caloric/nutrient-related"
"Statistical test","Bowker test of symmetry",,,24,4.66666666666667,3,0.197897126210368,"Complete paired responses"
"Statistical test","Exact McNemar test",,,7,,,0.125,"Non-caloric to caloric = 6; caloric to non-caloric = 1"
