"record_type","domain","outcome","term","comparison","estimate","SE","statistic","df1","df2","p_raw","p_adjusted","adjustment","r","standardized_alpha","note"
"Normality diagnostic","Nutritional factorial model",,"Residual Shapiro-Wilk test",,,,0.979227310887631,,,0.000399963671599138,,,,,"ART"
"Normality diagnostic","Taste factorial model",,"Residual Shapiro-Wilk test",,,,0.926074342948154,,,1.1273976426248e-12,,,,,"ART"
"Omnibus interaction","Nutritional attribution","Fat, Calories, Sugar","Condition × Nutritional Property",,,,22.0231520754439,2,230,1.77397279170899e-09,,,,,"Aligned Rank Transform"
"Planned contrast","Nutritional attribution","Fat","Water Control versus Olfactory Pod","A - P",-47.3191489361703,10.5890157294494,-4.46870135479822,,230,1.23511680376127e-05,1.23511680376127e-05,"Holm",,,"ART-C rank-scale estimate"
"Planned contrast","Nutritional attribution","Calories","Water Control versus Olfactory Pod","A - P",-76.6702127659575,10.5890157294494,-7.24054196583426,,230,6.65558901751082e-12,1.33111780350216e-11,"Holm",,,"ART-C rank-scale estimate"
"Planned contrast","Nutritional attribution","Sugar","Water Control versus Olfactory Pod","A - P",-94.6702127659574,10.5890157294494,-8.94041667184113,,230,1.29677469721271e-16,3.89032409163812e-16,"Holm",,,"ART-C rank-scale estimate"
"Omnibus interaction","Taste profile","Sweetness, Saltiness, Sourness, Bitterness","Condition × Taste",,,,82.2544801930184,3,138,1.42161336454443e-30,,,,,"Repeated-measures Aligned Rank Transform"
"Planned contrast","Taste profile","Bitter","Water Control versus Olfactory Pod","A - P",-39.1063829787234,14.6197089112624,-2.67490845516066,,322,0.00785676152785243,0.0104756820371366,"Benjamini-Hochberg FDR",,,"ART-C rank-scale estimate"
"Planned contrast","Taste profile","Sour","Water Control versus Olfactory Pod","A - P",-40.4787234042554,14.6197089112624,-2.76877765829334,,322,0.00595270701654008,0.0104756820371366,"Benjamini-Hochberg FDR",,,"ART-C rank-scale estimate"
"Planned contrast","Taste profile","Sweet","Water Control versus Olfactory Pod","A - P",-102.946808510639,14.6197089112624,-7.04164557143355,,322,1.1539661587176e-11,4.6158646348704e-11,"Benjamini-Hochberg FDR",,,"ART-C rank-scale estimate"
"Planned contrast","Taste profile","Salt","Water Control versus Olfactory Pod","A - P",1.82978723404261,14.6197089112624,0.125158937510241,,322,0.900475826971525,0.900475826971525,"Benjamini-Hochberg FDR",,,"ART-C rank-scale estimate"
"Coherence","Nutritional attribution","Calories with Sugar","Pearson correlation",,,,,,,,,,0.739430668097847,,"Correlation between Pod-minus-Control modulation indices"
"Coherence","Nutritional attribution","Calories with Fat","Pearson correlation",,,,,,,,,,0.571175422859883,,"Correlation between Pod-minus-Control modulation indices"
"Coherence","Nutritional attribution","Sugar with Fat","Pearson correlation",,,,,,,,,,0.48074136708737,,"Correlation between Pod-minus-Control modulation indices"
"Coherence","Nutritional attribution","Calories, Sugar and Fat modulation indices","Standardized Cronbach alpha",,,,,,,,,,,0.816389403221381,"Internal consistency of the three Pod-minus-Control indices"
